#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
318,TUBO,PCT-24-31502-5-002,PCT-PUP-0298,SI,,,,,
319,TUBO,PCT-24-31502-5-003,PCT-PUP-0299,SI,,,,,
320,TUBO,PCT-24-31502-5-004,PCT-PUP-0300,SI,,,,,
321,TUBO,PCT-24-31502-5-005,PCT-PUP-0301,SI,,,,,
322,TUBO,PCT-24-31502-5-006,PCT-PUP-0302,SI,,,,,
323,TUBO,PCT-24-31502-5-007,PCT-PUP-0303,SI,,,,,
324,TUBO,PCT-24-31502-5-008,PCT-PUP-0304,SI,,,,,
325,TUBO,PCT-24-31502-5-009,PCT-PUP-0305,SI,,,,,
326,TUBO,PCT-24-31502-5-010,PCT-PUP-0306,SI,,,,,
327,TUBO,PCT-24-31502-10-001,PCT-PUP-0307,SI,,,,,
328,TUBO,PCT-24-31502-10-002,PCT-PUP-0308,SI,,,,,
329,TUBO,PCT-24-31502-10-003,PCT-PUP-0309,SI,,,,,
330,TUBO,PCT-24-31502-10-004,PCT-PUP-0310,SI,,,,,
331,TUBO,PCT-24-31502-10-005,PCT-PUP-0311,SI,,,,,
332,TUBO,PCT-24-31502-10-006,PCT-PUP-0312,SI,,,,,
333,TUBO,PCT-24-31502-10-007,PCT-PUP-0313,SI,,,,,
334,TUBO,PCT-24-31502-10-008,PCT-PUP-0314,SI,,,,,
335,TUBO,PCT-24-31502-10-009,PCT-PUP-0315,SI,,,,,
336,TUBO,PCT-24-31502-10-010,PCT-PUP-0316,SI,,,,,
337,90,PCT-24-31502-90-001,PCT-90-083,SI,,,,,
338,90,PCT-24-31502-90-002,PCT-90-084,SI,,,,,
339,90,PCT-24-31502-90-003,PCT-90-085,SI,,,,,
340,90,PCT-24-31502-90-004,PCT-90-086,SI,,,,,
341,90,PCT-24-31502-90-005,PCT-90-087,SI,,,,,
342,90,PCT-24-31502-90-006,PCT-90-088,SI,,,,,
343,90,PCT-24-31502-90-007,PCT-90-089,SI,,,,,
344,90,PCT-24-31502-90-008,PCT-90-090,SI,,,,,
345,90,PCT-24-31502-90-010,PCT-90-092,SI,,,,,
346,90,PCT-24-31502-90-011,PCT-90-093,SI,,,,,
347,90,PCT-24-31502-90-012,PCT-90-094,SI,,,,,
348,90,PCT-24-31502-90-013,PCT-90-095,SI,,,,,
349,90,PCT-24-31502-90-014,PCT-90-096,SI,,,,,
350,90,PCT-24-31502-90-015,PCT-90-097,SI,,,,,
351,90,PCT-24-31502-90-016,PCT-90-098,SI,,,,,
352,90,PCT-24-31502-90-017,PCT-90-099,SI,,,,,
353,90,PCT-24-31502-90-018,PCT-90-100,SI,,,,,
354,90,PCT-24-31502-90-019,PCT-90-101,SI,,,,,
355,90,PCT-24-31502-90-020,PCT-90-102,SI,,,,,
356,45,PCT-24-31502-45-001,PCT-45-053,SI,,,,,
357,45,PCT-24-31502-45-002,PCT-45-054,SI,,,,,
358,45,PCT-24-31502-45-003,PCT-45-055,SI,,,,,
